trial,tsc,delta,low8
848,9073499744749,73689940,237
849,9073570701565,70956816,253
850,9073643846786,73145221,130
851,9073719662237,75815451,157
852,9073788653882,68991645,58
853,9073861646522,72992640,186
854,9073933791473,72144951,241
855,9074006198977,72407504,193
856,9074080068096,73869119,0
857,9074153394039,73325943,119
858,9074225478956,72084917,44
859,9074297023291,71544335,59
860,9074369385888,72362597,160
861,9074443459127,74073239,55
862,9074518231856,74772729,48
863,9074586739504,68507648,48
864,9074658906654,72167150,30
865,9074731912050,73005396,114
866,9074805938087,74026037,167
867,9074876331595,70393508,75
868,9074951807529,75475934,41
869,9075023781056,71973527,192
870,9075093142816,69361760,32
871,9075168764898,75622082,226
872,9075243047914,74283016,234
873,9075314252533,71204619,245
874,9075383186793,68934260,105
875,9075457126057,73939264,169
876,9075533619312,76493255,112
877,9075601925461,68306149,85
878,9075678444492,76519031,204
879,9075750372025,71927533,185
880,9075820128034,69756009,34
881,9075895501409,75373375,97
882,9075965771284,70269875,20
883,9076041596930,75825646,2
884,9076110712447,69115517,127
885,9076183433799,72721352,71
886,9076261390271,77956472,191
887,9076332045928,70655657,104
888,9076402276460,70230532,108
889,9076473821606,71545146,166
890,9076546867914,73046308,202
891,9076619187019,72319105,75
892,9076689718577,70531558,49
893,9076767170708,77452131,148
894,9076839268256,72097548,160
895,9076908374477,69106221,205
896,9076985114267,76739790,155
897,9077055313502,70199235,94
898,9077128304326,72990824,198
899,9077199415170,71110844,130
900,9077271191167,71775997,127
901,9077345442269,74251102,221
902,9077418175359,72733090,127
903,9077492807077,74631718,165
904,9077564516077,71709000,237
905,9077634485244,69969167,252
906,9077710010089,75524845,233
907,9077782775979,72765890,171
908,9077852112587,69336608,203
909,9077924296636,72184049,188
910,9077996635522,72338886,130
911,9078072100664,75465142,56
912,9078141938652,69837988,220
913,9078216558237,74619585,157
914,9078288264208,71705971,16
915,9078359627182,71362974,174
916,9078433452128,73824946,96
917,9078506402433,72950305,129
918,9078578687544,72285111,56
919,9078648426706,69739162,210
920,9078722854005,74427299,117
921,9078797578263,74724258,23
922,9078869868130,72289867,98
923,9078942239233,72371103,1
924,9079011831056,69591823,16
925,9079083425691,71594635,155
926,9079157166666,73740975,74
927,9079228396751,71230085,207
928,9079302245334,73848583,214
929,9079375894924,73649590,140
930,9079447818007,71923083,23
931,9079522667991,74849984,215
932,9079594327841,71659850,33
933,9079668294533,73966692,133
934,9079742335097,74040564,121
935,9079809259422,66924325,158
936,9079888360705,79101283,1
937,9079955668589,67307884,109
938,9080030905343,75236754,255
939,9080766663137,735757794,225
940,9081969103553,1202440416,193
941,9082040357500,71253947,124
942,9082108819720,68462220,8
943,9082185614791,76795071,199
944,9082258182225,72567434,81
945,9082329289395,71107170,179
946,9082400747811,71458416,35
947,9082470498730,69750919,170
948,9082544956178,74457448,18
949,9082616502013,71545835,253
950,9082692500498,75998485,18
951,9082764920940,72420442,108
952,9082834273617,69352677,81
953,9082911101633,76828016,193
954,9082981724512,70622879,96
955,9083055068109,73343597,205
956,9083125083892,70015783,244
957,9083705592815,580508923,239
958,9084904201782,1198608967,54
959,9084976052271,71850489,47
960,9085051452049,75399778,145
961,9085127221907,75769858,147
962,9085196782961,69561054,113
963,9085264462195,67679234,115
964,9085338225742,73763547,78
965,9085422693201,84467459,81
966,9085489658664,66965463,40
967,9085556211735,66553071,23
968,9085631829875,75618140,115
969,9085700451093,68621218,21
970,9085773472103,73021010,103
971,9085848795122,75323019,242
972,9085922126477,73331355,141
973,9085990217695,68091218,223
974,9086063131460,72913765,68
975,9086650598142,587466682,254
976,9087858890033,1208291891,49
977,9087927126646,68236613,118
978,9087996769819,69643173,27
979,9088072156457,75386638,41
980,9088153428855,81272398,119
981,9088218551869,65123014,61
982,9088287891416,69339547,216
983,9088360892514,73001098,98
984,9088432744992,71852478,32
985,9088509529892,76784900,36
986,9088582169502,72639610,158
987,9088651511141,69341639,101
988,9088724010962,72499821,210
989,9089238889733,514878771,5
990,9089843760866,604871133,226
991,9090305039391,461278525,31
